,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Wake Me Up Before You Go-Go___Wham!,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,audio_features,0ikz6tENMONtK6qGkOrU3c,spotify:track:0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/audio-analysis/0ikz6tENMONtK6qGkOrU3c,231333.0,4.0,Make It Big,02f3y3NTsddjdUMoNiBppI
Let Me Down Slowly___Alec Benjamin,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354.0,4.0,Narrated For You,6jKZplJpy21R5lHaYHHjmZ
Sad Beautiful Tragic (Taylor's Version)___Taylor Swift,0.601,0.406,7.0,-11.827,1.0,0.0275,0.622,9.19e-05,0.133,0.232,130.059,audio_features,73qMN9bXy7MSPwwGfH3wQr,spotify:track:73qMN9bXy7MSPwwGfH3wQr,https://api.spotify.com/v1/tracks/73qMN9bXy7MSPwwGfH3wQr,https://api.spotify.com/v1/audio-analysis/73qMN9bXy7MSPwwGfH3wQr,284773.0,3.0,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9
London Boy___Taylor Swift,0.695,0.71,1.0,-6.639,1.0,0.05,0.0246,0.000104,0.133,0.557,157.925,audio_features,1LLXZFeAHK9R4xUramtUKw,spotify:track:1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/tracks/1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/audio-analysis/1LLXZFeAHK9R4xUramtUKw,190240.0,4.0,Lover,1NAmidJlEaVgA3MpcPFYGq
Khairiyat___Pritam,0.534,0.481,0.0,-9.016,0.0,0.0412,0.697,0.0,0.142,0.293,124.914,audio_features,5O932cZmzOZGOGZz9RHx20,spotify:track:5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/tracks/5O932cZmzOZGOGZz9RHx20,https://api.spotify.com/v1/audio-analysis/5O932cZmzOZGOGZz9RHx20,280282.0,4.0,Chhichhore,2Svje8vKEM4VCKxoRyAvA4
The Rise and Fall of Bossanova Section IV___P C III,,,,,,,,,,,,,,,,,,,,
Kråkevisa___Sissel Morken Gullord,0.354,0.595,2.0,-6.685,1.0,0.0412,0.0293,5.91e-06,0.102,0.234,91.244,audio_features,6m8DP9BxmR1RzO3JWyriCx,spotify:track:6m8DP9BxmR1RzO3JWyriCx,https://api.spotify.com/v1/tracks/6m8DP9BxmR1RzO3JWyriCx,https://api.spotify.com/v1/audio-analysis/6m8DP9BxmR1RzO3JWyriCx,172396.0,4.0,Kråkevisa,6eGwnIGnAxfPzUdo3hlyhd
Dark Materials: Between the Worlds___Lorne Balfe,0.266,0.468,5.0,-11.038,0.0,0.0353,0.173,0.903,0.106,0.531,129.578,audio_features,6qwl626ocUuvabjfRe33Rg,spotify:track:6qwl626ocUuvabjfRe33Rg,https://api.spotify.com/v1/tracks/6qwl626ocUuvabjfRe33Rg,https://api.spotify.com/v1/audio-analysis/6qwl626ocUuvabjfRe33Rg,94453.0,4.0,The Musical Anthology of His Dark Materials Series 2,4FJbstmmANWDoxnlQ54xVF
abcdefu (angrier)___GAYLE,0.671,0.599,4.0,-6.18,1.0,0.0405,0.0658,0.0,0.101,0.448,121.849,audio_features,1EQFOouqdKYdpbNoOHRVO2,spotify:track:1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/tracks/1EQFOouqdKYdpbNoOHRVO2,https://api.spotify.com/v1/audio-analysis/1EQFOouqdKYdpbNoOHRVO2,159836.0,3.0,abcdefu (angrier),23M1xUF2RoRSvXtpwQP4rJ
"Episode 100: Tesla Cybertruck Reactions, 5G vs Planes, and Q&A!___Waveform: The MKBHD Podcast",0.724,0.387,9.0,-15.086,1.0,0.81,0.605,0.00054,0.0693,0.0897,119.983,audio_features,6olLOlKVEk9Y4xccc8pIAP,spotify:track:6olLOlKVEk9Y4xccc8pIAP,https://api.spotify.com/v1/tracks/6olLOlKVEk9Y4xccc8pIAP,https://api.spotify.com/v1/audio-analysis/6olLOlKVEk9Y4xccc8pIAP,208244.0,4.0,Tesla Cybertruck (feat. Loopey),3t1j3rQBSjoaMexWwPx0UB
