,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,Marvel Studios Fanfare___Geek Music,2022-01-17 14:03,Geek Music,Marvel Studios Fanfare,11470,2022-01-17 14:03:00,0.491,0.326,0.0,-15.147,1.0,0.033,0.571,0.94,0.247,0.236,116.914,audio_features,5h7gTOozHXd9T8zUAdG74s,spotify:track:5h7gTOozHXd9T8zUAdG74s,https://api.spotify.com/v1/tracks/5h7gTOozHXd9T8zUAdG74s,https://api.spotify.com/v1/audio-analysis/5h7gTOozHXd9T8zUAdG74s,83333.0,3.0,Marvel Studios Fanfare,7vqGPLTGiLzywpNRmnlriw
1,"Main Theme (From ""Loca academia de policía"")___London Music Works",2022-01-17 14:04,London Music Works,"Main Theme (From ""Loca academia de policía"")",14250,2022-01-17 14:04:00,0.232,0.68,10.0,-7.427,1.0,0.0577,0.578,0.252,0.192,0.622,167.866,audio_features,45JoLwDHP9Pa7U2Rkk7Ug4,spotify:track:45JoLwDHP9Pa7U2Rkk7Ug4,https://api.spotify.com/v1/tracks/45JoLwDHP9Pa7U2Rkk7Ug4,https://api.spotify.com/v1/audio-analysis/45JoLwDHP9Pa7U2Rkk7Ug4,104680.0,3.0,Los 100 Mayores Temas de Película Volumen 3,150TCvcIzSBXDlK44V6o9f
2,Marvel Studios Fanfare___London Music Works,2022-01-17 14:04,London Music Works,Marvel Studios Fanfare,36266,2022-01-17 14:04:00,0.376,0.568,7.0,-9.343,1.0,0.0409,0.0809,0.616,0.201,0.325,79.878,audio_features,4iPIQG7k3rFp0V36rIJQ0Y,spotify:track:4iPIQG7k3rFp0V36rIJQ0Y,https://api.spotify.com/v1/tracks/4iPIQG7k3rFp0V36rIJQ0Y,https://api.spotify.com/v1/audio-analysis/4iPIQG7k3rFp0V36rIJQ0Y,36267.0,3.0,Music from the Avengers Movies,1rG0b0jBQnc3Va0zL31jfS
3,Hedwig's Theme___John Williams,2022-01-17 14:10,John Williams,Hedwig's Theme,309093,2022-01-17 14:10:00,0.275,0.0301,4.0,-29.94,0.0,0.0358,0.976,0.165,0.103,0.12,93.388,audio_features,6K5ODg9h9HwUpZ8slf3piD,spotify:track:6K5ODg9h9HwUpZ8slf3piD,https://api.spotify.com/v1/tracks/6K5ODg9h9HwUpZ8slf3piD,https://api.spotify.com/v1/audio-analysis/6K5ODg9h9HwUpZ8slf3piD,88569.0,4.0,"Hedwig's Theme (From ""Harry Potter And The Philosopher's Stone"")",1oRRqWVpbNU3CWD9d1H7CK
4,Theme From Jurassic Park___John Williams,2022-01-17 14:10,John Williams,Theme From Jurassic Park,3560,2022-01-17 14:10:00,0.144,0.132,10.0,-19.115,1.0,0.0333,0.946,0.779,0.115,0.0627,102.283,audio_features,2TZbQZXOuR8osP2AK8yYMN,spotify:track:2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/tracks/2TZbQZXOuR8osP2AK8yYMN,https://api.spotify.com/v1/audio-analysis/2TZbQZXOuR8osP2AK8yYMN,207427.0,3.0,Jurassic Park,1yyFmCMeNtuLWsLZAXPStf
5,Act Up___Rich Brian,2022-01-17 14:13,Rich Brian,Act Up,198626,2022-01-17 14:13:00,0.609,0.772,9.0,-4.152,1.0,0.119,0.328,0.0,0.321,0.384,78.052,audio_features,36Ajx3OHw1qOAjS4tJs38V,spotify:track:36Ajx3OHw1qOAjS4tJs38V,https://api.spotify.com/v1/tracks/36Ajx3OHw1qOAjS4tJs38V,https://api.spotify.com/v1/audio-analysis/36Ajx3OHw1qOAjS4tJs38V,198627.0,4.0,Shang-Chi and The Legend of The Ten Rings: The Album,2kAqjStKcwlDD59H0llhGC
6,Evergreen___Olivia Sanabia,2022-01-17 14:17,Olivia Sanabia,Evergreen,227787,2022-01-17 14:17:00,0.619,0.385,6.0,-10.229,1.0,0.0314,0.767,1.88e-05,0.0793,0.308,83.95,audio_features,4DOmrSKXmDSM3Xk2AOMP2x,spotify:track:4DOmrSKXmDSM3Xk2AOMP2x,https://api.spotify.com/v1/tracks/4DOmrSKXmDSM3Xk2AOMP2x,https://api.spotify.com/v1/audio-analysis/4DOmrSKXmDSM3Xk2AOMP2x,185714.0,4.0,19: The Musical,73y2u5Ioq5cSZjfN4kTw0x
7,Rebellious Way___Basixx,2022-01-17 14:18,Basixx,Rebellious Way,77015,2022-01-17 14:18:00,0.685,0.863,9.0,-4.093,0.0,0.0471,0.0234,0.00616,0.0635,0.562,124.994,audio_features,3EYTjjzKjRiZgcCA6TBjgR,spotify:track:3EYTjjzKjRiZgcCA6TBjgR,https://api.spotify.com/v1/tracks/3EYTjjzKjRiZgcCA6TBjgR,https://api.spotify.com/v1/audio-analysis/3EYTjjzKjRiZgcCA6TBjgR,196587.0,4.0,Tell Me,6asoJJw7okL9DswlAjs167
8,Venom - Music From The Motion Picture___Eminem,2022-01-17 14:18,Eminem,Venom - Music From The Motion Picture,8400,2022-01-17 14:18:00,0.75,0.789,0.0,-5.058,1.0,0.0647,0.0148,0.0,0.501,0.467,135.954,audio_features,3kpYJjvM8Ja6btr5hEJLWc,spotify:track:3kpYJjvM8Ja6btr5hEJLWc,https://api.spotify.com/v1/tracks/3kpYJjvM8Ja6btr5hEJLWc,https://api.spotify.com/v1/audio-analysis/3kpYJjvM8Ja6btr5hEJLWc,269573.0,4.0,Venom (Music From The Motion Picture),25zSh5FAL8kUh8z7ivwBH6
9,Melody (feat. Jon Becker) - Thimlife & Lost Diaries Remix___Cadmium,2022-01-17 14:19,Cadmium,Melody (feat. Jon Becker) - Thimlife & Lost Diaries Remix,14020,2022-01-17 14:19:00,0.502,0.479,9.0,-10.901,1.0,0.0524,0.303,1.19e-05,0.0729,0.271,169.772,audio_features,2aFaYe1GSHtTC57KvuDLfB,spotify:track:2aFaYe1GSHtTC57KvuDLfB,https://api.spotify.com/v1/tracks/2aFaYe1GSHtTC57KvuDLfB,https://api.spotify.com/v1/audio-analysis/2aFaYe1GSHtTC57KvuDLfB,189176.0,4.0,Melody (feat. Jon Becker) [Thimlife & Lost Diaries Remix],6qqYRkUYSwjByFk0BGipvp
